profit,temperature,pressure,humidity,cloudy,precipitation,population,elevation,is_weekend,month_01,month_02,month_03,month_05,month_06,month_07,month_08,month_09,month_11,month_12,month_04,month_10
23.940971,16.88,1034.1666666666667,0.44,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.160591,17.240000000000002,1015.6572769953052,0.58,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.346354,9.32,1028.1455399061033,0.0,1.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
24.46967,20.12,1035.9507042253522,0.87,1.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
24.247242,17.240000000000002,981.0915492957746,0.8,0.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
23.571428,14.9,982.4295774647888,0.99,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.780273,15.8,1037.957746478873,0.3,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.441177,20.12,1036.173708920188,0.24,1.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.375,19.58,1035.5046948356808,0.38,1.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
24.237846,15.44,998.4859154929576,0.83,0.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
23.34747,16.52,1028.8145539906104,0.25,0.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
22.489584,6.800000000000001,1037.0657276995305,0.0,1.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.442308,15.98,965.7042253521126,0.41,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
25.38616,8.779999999999998,996.4788732394368,0.0,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.30134,12.38,1035.7276995305165,0.23,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
25.401041,8.240000000000002,963.9201877934272,0.96,1.0,1.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.452206,10.4,1009.8591549295776,0.0,0.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
23.339674,21.02,977.300469483568,0.67,0.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
23.704687,12.2,999.1549295774648,0.0,1.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
22.453125,13.82,967.9342723004696,0.51,1.0,1.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.162683,21.2,964.81220657277,0.96,1.0,1.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.503124,13.099999999999998,1025.0234741784038,0.07,1.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
22.832386,13.279999999999998,1005.1760563380282,0.01,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
23.092371,6.800000000000001,986.443661971831,0.62,0.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
24.044035,6.800000000000001,1016.7723004694836,0.18,0.0,0.0,18428,375,1,1,0,0,0,0,0,0,0,0,0,0,0
25.6875,10.22,983.0985915492956,0.0,1.0,1.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
24.055664,18.14,1021.0093896713616,0.66,0.0,0.0,18428,375,0,1,0,0,0,0,0,0,0,0,0,0,0
